restaurant_id,restaurant_name,city,restaurant_type,cuisine_type,opening_year,avg_rating,delivery_radius_km,commission_percentage
R00001,"Reddy, Gulati and Bhardwaj",Hyderabad,Cloud Kitchen,South Indian,2025,4.9,7.2,15
R00002,"Aurora, Dugal and Bahri",Vijayawada,Cafe,Biryani,2024,3.5,2.6,28
R00003,Solanki-Nadkarni,Chennai,Premium Restaurant,North Indian,2016,4.8,6.6,15
R00004,Verma LLC,Coimbatore,Budget Restaurant,North Indian,2021,4.9,7.7,21
R00005,"Nair, Tank and Merchant",Chennai,Fast Food Chain,North Indian,2018,4.6,7.7,20
R00006,Kade Group,Chennai,Cafe,Pizza,2017,4.0,9.0,24
R00007,"Memon, Sandhu and Gulati",Chennai,Budget Restaurant,South Indian,2019,3.6,9.5,18
R00008,Sampath-Muni,Hyderabad,Budget Restaurant,South Indian,2021,3.7,9.7,26
R00009,Pant-Krishnan,Hyderabad,Cloud Kitchen,North Indian,2025,3.8,2.0,17
R00010,Rana Group,Hyderabad,Budget Restaurant,North Indian,2023,4.7,4.4,23
R00011,Iyer-Dhar,Coimbatore,Cloud Kitchen,Desserts,2021,4.3,2.8,25
R00012,Mital-Bhavsar,Chennai,Premium Restaurant,North Indian,2017,4.6,9.8,29
R00013,Sule LLC,Chennai,Premium Restaurant,Chinese,2017,4.3,7.7,25
R00014,Patel-Ratti,Hyderabad,Premium Restaurant,Biryani,2019,5.0,2.1,20
R00015,Parekh Inc,Coimbatore,Fast Food Chain,South Indian,2019,3.7,3.7,17
R00016,Dugar-Biswas,Hyderabad,Budget Restaurant,South Indian,2022,3.9,9.6,27
R00017,Dhar-Thaker,Coimbatore,Budget Restaurant,Desserts,2018,4.4,7.5,28
R00018,Trivedi-Sagar,Coimbatore,Cloud Kitchen,North Indian,2020,4.7,3.4,25
R00019,Goswami Ltd,Coimbatore,Fast Food Chain,South Indian,2022,4.8,4.0,24
R00020,Gulati LLC,Chennai,Premium Restaurant,South Indian,2025,4.4,7.9,30
R00021,"Sridhar, Borah and Sibal",Hyderabad,Budget Restaurant,Chinese,2025,4.7,3.7,30
R00022,Varty Group,Chennai,Fast Food Chain,South Indian,2023,4.3,8.0,21
R00023,"Pingle, Mallick and Divan",Chennai,Cafe,Biryani,2022,3.9,2.7,24
R00024,"Shroff, Nanda and Vaidya",Chennai,Budget Restaurant,Desserts,2016,3.5,6.5,21
R00025,Char Ltd,Hyderabad,Budget Restaurant,North Indian,2017,4.9,2.7,20
R00026,Parekh Inc,Chennai,Budget Restaurant,North Indian,2025,5.0,9.2,30
R00027,"Aggarwal, Tara and Borra",Chennai,Premium Restaurant,Burger,2018,4.4,9.3,27
R00028,Kadakia-Bhargava,Hyderabad,Fast Food Chain,Burger,2023,4.1,4.5,16
R00029,"Gopal, Bora and Patla",Bangalore,Premium Restaurant,Biryani,2018,4.7,9.8,25
R00030,"Sandhu, Majumdar and Hegde",Hyderabad,Premium Restaurant,Pizza,2016,3.6,8.3,27
R00031,"Randhawa, Naik and Setty",Vijayawada,Fast Food Chain,South Indian,2017,4.5,5.9,19
R00032,"Badal, Cherian and Tara",Vijayawada,Cafe,Beverages,2021,4.8,2.7,28
R00033,Aggarwal-Sen,Chennai,Cafe,Burger,2024,4.2,9.2,27
R00034,Babu-Gill,Coimbatore,Budget Restaurant,Pizza,2023,4.0,9.7,17
R00035,Dey-Swaminathan,Chennai,Budget Restaurant,Biryani,2022,3.8,6.6,26
R00036,Setty-Bhardwaj,Bangalore,Cloud Kitchen,Chinese,2025,4.3,7.5,27
R00037,"Manne, Chaudhry and Rao",Chennai,Fast Food Chain,Beverages,2020,3.7,9.2,24
R00038,"Shah, Sur and Srinivasan",Bangalore,Cloud Kitchen,Burger,2024,3.6,9.2,23
R00039,"Dhaliwal, Rau and Gopal",Bangalore,Fast Food Chain,South Indian,2023,4.8,2.1,21
R00040,Peri-Lala,Hyderabad,Cafe,South Indian,2021,4.6,5.7,15
R00041,"Balay, Konda and Chahal",Chennai,Budget Restaurant,South Indian,2026,4.8,5.1,28
R00042,Mitra-Bora,Bangalore,Premium Restaurant,Biryani,2024,3.8,3.2,24
R00043,"Puri, Choudhary and Bava",Chennai,Premium Restaurant,Pizza,2026,4.2,9.5,22
R00044,Mohanty-Saran,Hyderabad,Cloud Kitchen,Biryani,2016,4.5,8.1,16
R00045,Tata Ltd,Bangalore,Cloud Kitchen,Desserts,2018,4.9,3.2,17
R00046,Bumb PLC,Hyderabad,Budget Restaurant,North Indian,2024,3.7,4.2,25
R00047,Zacharia Inc,Bangalore,Cloud Kitchen,Biryani,2019,4.7,2.7,21
R00048,"Soni, Suresh and Varkey",Coimbatore,Cloud Kitchen,Pizza,2017,4.8,4.2,24
R00049,Puri-Badami,Hyderabad,Cloud Kitchen,South Indian,2026,4.0,8.5,26
R00050,"Sur, Prashad and Sundaram",Hyderabad,Premium Restaurant,Chinese,2018,4.4,3.6,24
R00051,Iyer Group,Hyderabad,Budget Restaurant,Desserts,2025,4.8,7.2,30
R00052,Sampath-Singh,Chennai,Fast Food Chain,Burger,2024,3.8,9.6,20
R00053,Choudhry Ltd,Coimbatore,Fast Food Chain,South Indian,2025,4.3,8.9,23
R00054,Naidu Ltd,Chennai,Cafe,Healthy Foods,2024,4.1,4.6,22
R00055,Sodhi PLC,Bangalore,Premium Restaurant,Biryani,2022,4.4,6.3,20
R00056,Handa-Sarkar,Chennai,Premium Restaurant,South Indian,2018,3.8,2.2,27
R00057,"Dhillon, Bhavsar and Varughese",Bangalore,Cafe,North Indian,2017,4.9,6.1,29
R00058,Ramesh-Sidhu,Bangalore,Fast Food Chain,Burger,2021,5.0,6.0,30
R00059,Sandal-Grover,Bangalore,Fast Food Chain,Burger,2020,4.1,8.6,23
R00060,"Varty, Bajwa and Oommen",Coimbatore,Cloud Kitchen,South Indian,2020,4.2,7.0,15
R00061,Som LLC,Chennai,Cloud Kitchen,Biryani,2023,4.5,8.5,17
R00062,"Gandhi, Rajagopal and Dugal",Chennai,Premium Restaurant,North Indian,2019,4.4,7.9,15
R00063,Sankar LLC,Vijayawada,Fast Food Chain,Burger,2026,4.5,2.2,18
R00064,Sarna-Hayer,Coimbatore,Fast Food Chain,Chinese,2021,4.7,8.9,20
R00065,"Balay, Rastogi and Bali",Hyderabad,Cafe,South Indian,2023,3.9,8.5,19
R00066,Golla PLC,Coimbatore,Budget Restaurant,North Indian,2021,4.1,4.1,23
R00067,Dani-Dhillon,Bangalore,Cafe,Biryani,2021,4.2,6.2,22
